i_avg,i_city,i_thread,elapsed_time
0,1,1,0.017246
0,2,1,0.0012415
0,3,1,0.0010034
0,4,1,0.0007765
0,5,1,0.0018071
0,6,1,0.0033797
0,7,1,0.0095168
0,8,1,0.0626296
0,1,5,0.0106727
0,2,5,0.0133569
0,3,5,0.0091279
0,4,5,0.0130456
0,5,5,0.0625248
0,6,5,0.0079252
0,7,5,0.0189055
0,8,5,0.0912605
0,1,10,0.0168351
0,2,10,0.0094772
0,3,10,0.0069786
0,4,10,0.0071377
0,5,10,0.0701343
0,6,10,0.0079775
0,7,10,0.0256571
0,8,10,0.132303
0,1,15,0.0078546
0,2,15,0.021481
0,3,15,0.013403
0,4,15,0.0332337
0,5,15,0.0340335
0,6,15,0.010846
0,7,15,0.0259439
0,8,15,0.0995725
1,1,1,0.001181
1,2,1,0.0015999
1,3,1,0.0011216
1,4,1,0.0007478
1,5,1,0.0008468
1,6,1,0.0036362
1,7,1,0.0085907
1,8,1,0.0558125
1,1,5,0.0036874
1,2,5,0.0020962
1,3,5,0.0018842
1,4,5,0.0029511
1,5,5,0.0029522
1,6,5,0.0061213
1,7,5,0.0155516
1,8,5,0.0843821
1,1,10,0.0078652
1,2,10,0.0134022
1,3,10,0.0088084
1,4,10,0.0046107
1,5,10,0.0045063
1,6,10,0.0113089
1,7,10,0.0189173
1,8,10,0.0969921
1,1,15,0.0103058
1,2,15,0.0091157
1,3,15,0.0194205
1,4,15,0.0333156
1,5,15,0.0162663
1,6,15,0.0172179
1,7,15,0.022553
1,8,15,0.0992586
2,1,1,0.0018273
2,2,1,0.0019637
2,3,1,0.0008777
2,4,1,0.0014113
2,5,1,0.0014082
2,6,1,0.0035095
2,7,1,0.0084766
2,8,1,0.0549819
2,1,5,0.0051496
2,2,5,0.006559
2,3,5,0.0031852
2,4,5,0.0063313
2,5,5,0.0069449
2,6,5,0.0050569
2,7,5,0.0144514
2,8,5,0.0838143
2,1,10,0.0121508
2,2,10,0.0062382
2,3,10,0.0066382
2,4,10,0.0094524
2,5,10,0.0081249
2,6,10,0.0088476
2,7,10,0.0185031
2,8,10,0.0948132
2,1,15,0.0119453
2,2,15,0.0067264
2,3,15,0.0062042
2,4,15,0.00935
2,5,15,0.0114292
2,6,15,0.0108801
2,7,15,0.0233977
2,8,15,0.104571
3,1,1,0.0014511
3,2,1,0.0036522
3,3,1,0.0007031
3,4,1,0.0006433
3,5,1,0.0037681
3,6,1,0.0026112
3,7,1,0.0095995
3,8,1,0.0548143
3,1,5,0.0080143
3,2,5,0.002483
3,3,5,0.0018606
3,4,5,0.0041569
3,5,5,0.0051825
3,6,5,0.0072405
3,7,5,0.0139059
3,8,5,0.0867894
3,1,10,0.0080673
3,2,10,0.0050543
3,3,10,0.0087283
3,4,10,0.0081931
3,5,10,0.0066136
3,6,10,0.0061608
3,7,10,0.0186859
3,8,10,0.100274
3,1,15,0.0086563
3,2,15,0.008932
3,3,15,0.0107255
3,4,15,0.0107115
3,5,15,0.0111257
3,6,15,0.0087514
3,7,15,0.0250041
3,8,15,0.10979
4,1,1,0.0016808
4,2,1,0.003605
4,3,1,0.0013835
4,4,1,0.0014975
4,5,1,0.0010458
4,6,1,0.0021996
4,7,1,0.0102258
4,8,1,0.0539503
4,1,5,0.0041131
4,2,5,0.0022717
4,3,5,0.0022219
4,4,5,0.0031444
4,5,5,0.0026166
4,6,5,0.0052298
4,7,5,0.0197777
4,8,5,0.0903965
4,1,10,0.0082057
4,2,10,0.0056318
4,3,10,0.0046771
4,4,10,0.004679
4,5,10,0.0060432
4,6,10,0.0101317
4,7,10,0.0196469
4,8,10,0.0997928
4,1,15,0.009178
4,2,15,0.0392875
4,3,15,0.0086066
4,4,15,0.0181226
4,5,15,0.0160607
4,6,15,0.0216304
4,7,15,0.0220567
4,8,15,0.111613
5,1,1,0.0014542
5,2,1,0.0007809
5,3,1,0.0015603
5,4,1,0.0012916
5,5,1,0.000907
5,6,1,0.0026256
5,7,1,0.0094355
5,8,1,0.0933228
5,1,5,0.0057805
5,2,5,0.0032056
5,3,5,0.0063025
5,4,5,0.006713
5,5,5,0.0038661
5,6,5,0.0062877
5,7,5,0.0158044
5,8,5,0.0818999
5,1,10,0.0048774
5,2,10,0.0055396
5,3,10,0.0047973
5,4,10,0.0039598
5,5,10,0.0062085
5,6,10,0.0067516
5,7,10,0.0187899
5,8,10,0.0945315
5,1,15,0.007018
5,2,15,0.0086759
5,3,15,0.0063416
5,4,15,0.0081019
5,5,15,0.0087699
5,6,15,0.0093894
5,7,15,0.022041
5,8,15,0.100444
6,1,1,0.0029188
6,2,1,0.0007471
6,3,1,0.0043884
6,4,1,0.0014116
6,5,1,0.0012791
6,6,1,0.0025846
6,7,1,0.0094798
6,8,1,0.0554002
6,1,5,0.0060166
6,2,5,0.004826
6,3,5,0.0020664
6,4,5,0.0031104
6,5,5,0.0028927
6,6,5,0.0048155
6,7,5,0.017845
6,8,5,0.0878986
6,1,10,0.0109155
6,2,10,0.0058128
6,3,10,0.0041994
6,4,10,0.0082852
6,5,10,0.0042888
6,6,10,0.0053323
6,7,10,0.0166921
6,8,10,0.102587
6,1,15,0.005669
6,2,15,0.0082343
6,3,15,0.0127664
6,4,15,0.0075284
6,5,15,0.0128649
6,6,15,0.0089473
6,7,15,0.0207085
6,8,15,0.0977392
7,1,1,0.0007798
7,2,1,0.0060872
7,3,1,0.0011386
7,4,1,0.0013055
7,5,1,0.0012877
7,6,1,0.0022763
7,7,1,0.0105749
7,8,1,0.0600789
7,1,5,0.0156365
7,2,5,0.0118772
7,3,5,0.0038144
7,4,5,0.0062066
7,5,5,0.0027645
7,6,5,0.0106258
7,7,5,0.0169292
7,8,5,0.0918078
7,1,10,0.0111901
7,2,10,0.0091969
7,3,10,0.0054373
7,4,10,0.0047314
7,5,10,0.0410626
7,6,10,0.0118605
7,7,10,0.0182206
7,8,10,0.0891051
7,1,15,0.0106178
7,2,15,0.0130695
7,3,15,0.0085097
7,4,15,0.0084919
7,5,15,0.0111797
7,6,15,0.0080706
7,7,15,0.0210821
7,8,15,0.0988616
8,1,1,0.000762
8,2,1,0.0007457
8,3,1,0.0004902
8,4,1,0.0012342
8,5,1,0.0010507
8,6,1,0.0028281
8,7,1,0.0126148
8,8,1,0.0547816
8,1,5,0.0034027
8,2,5,0.004101
8,3,5,0.0034908
8,4,5,0.0023361
8,5,5,0.0031797
8,6,5,0.0052011
8,7,5,0.0166865
8,8,5,0.0800986
8,1,10,0.0067922
8,2,10,0.0043226
8,3,10,0.0031741
8,4,10,0.0073321
8,5,10,0.0061055
8,6,10,0.0074539
8,7,10,0.0186285
8,8,10,0.0930661
8,1,15,0.0078655
8,2,15,0.0073579
8,3,15,0.0092831
8,4,15,0.0077763
8,5,15,0.0169795
8,6,15,0.0062131
8,7,15,0.0228597
8,8,15,0.0978621
9,1,1,0.0006972
9,2,1,0.0007341
9,3,1,0.000571
9,4,1,0.0005515
9,5,1,0.0016296
9,6,1,0.0033114
9,7,1,0.0095112
9,8,1,0.0542323
9,1,5,0.0024106
9,2,5,0.0021971
9,3,5,0.0016794
9,4,5,0.0041738
9,5,5,0.0024311
9,6,5,0.0048745
9,7,5,0.0165443
9,8,5,0.0845129
9,1,10,0.0064334
9,2,10,0.0033151
9,3,10,0.0040649
9,4,10,0.0040572
9,5,10,0.0058138
9,6,10,0.0054397
9,7,10,0.0188114
9,8,10,0.0890165
9,1,15,0.0077911
9,2,15,0.010323
9,3,15,0.0172896
9,4,15,0.0067423
9,5,15,0.0082095
9,6,15,0.007931
9,7,15,0.0198339
9,8,15,0.0956832
